"p           ","o/f         ","t           ","cp          ","gam         ","pip         ","mach        ","ae          ","cf          ","isp         "
   2.41316E+01,   6.50000E+00,   3.36444E+03,   3.98793E+00,   1.15392E+00,   1.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00
   1.38401E+01,   6.50000E+00,   3.16173E+03,   3.66633E+00,   1.15413E+00,   1.74360E+00,   1.00000E+00,   1.00000E+00,   6.61921E-01,   1.07317E+03
   8.11418E-01,   6.50000E+00,   2.07091E+03,   1.60115E+00,   1.24042E+00,   2.97400E+01,   2.70931E+00,   4.84371E+00,   1.48294E+00,   2.40429E+03
   7.57425E-01,   6.50000E+00,   2.04353E+03,   1.59094E+00,   1.24180E+00,   3.18600E+01,   2.74639E+00,   5.08200E+00,   1.49404E+00,   2.42229E+03
   7.10169E-01,   6.50000E+00,   2.01812E+03,   1.58237E+00,   1.24298E+00,   3.39800E+01,   2.78120E+00,   5.31625E+00,   1.50422E+00,   2.43879E+03
   6.68279E-01,   6.50000E+00,   1.99433E+03,   1.57504E+00,   1.24402E+00,   3.61100E+01,   2.81416E+00,   5.54787E+00,   1.51364E+00,   2.45407E+03
   6.31220E-01,   6.50000E+00,   1.97218E+03,   1.56878E+00,   1.24492E+00,   3.82300E+01,   2.84519E+00,   5.77496E+00,   1.52234E+00,   2.46816E+03
   2.58552E+01,   6.50000E+00,   3.37158E+03,   3.95117E+00,   1.15446E+00,   1.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00
   1.48252E+01,   6.50000E+00,   3.16733E+03,   3.62936E+00,   1.15477E+00,   1.74401E+00,   1.00000E+00,   1.00000E+00,   6.62139E-01,   1.07415E+03
   8.69376E-01,   6.50000E+00,   2.06996E+03,   1.59857E+00,   1.24075E+00,   2.97400E+01,   2.71046E+00,   4.83702E+00,   1.48254E+00,   2.40505E+03
   8.11527E-01,   6.50000E+00,   2.04255E+03,   1.58871E+00,   1.24209E+00,   3.18600E+01,   2.74759E+00,   5.07495E+00,   1.49362E+00,   2.42303E+03
   7.60896E-01,   6.50000E+00,   2.01713E+03,   1.58041E+00,   1.24324E+00,   3.39800E+01,   2.78245E+00,   5.30886E+00,   1.50379E+00,   2.43951E+03
   7.16013E-01,   6.50000E+00,   1.99332E+03,   1.57331E+00,   1.24425E+00,   3.61100E+01,   2.81545E+00,   5.54014E+00,   1.51320E+00,   2.45478E+03
   6.76308E-01,   6.50000E+00,   1.97116E+03,   1.56724E+00,   1.24513E+00,   3.82300E+01,   2.84652E+00,   5.76690E+00,   1.52188E+00,   2.46886E+03
   2.75789E+01,   6.50000E+00,   3.37824E+03,   3.91710E+00,   1.15497E+00,   1.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00
   1.58101E+01,   6.50000E+00,   3.17254E+03,   3.59510E+00,   1.15538E+00,   1.74439E+00,   1.00000E+00,   1.00000E+00,   6.62344E-01,   1.07507E+03
   9.27334E-01,   6.50000E+00,   2.06907E+03,   1.59626E+00,   1.24104E+00,   2.97400E+01,   2.71153E+00,   4.83083E+00,   1.48216E+00,   2.40575E+03
   8.65628E-01,   6.50000E+00,   2.04165E+03,   1.58670E+00,   1.24235E+00,   3.18600E+01,   2.74871E+00,   5.06843E+00,   1.49323E+00,   2.42371E+03
   8.11622E-01,   6.50000E+00,   2.01621E+03,   1.57865E+00,   1.24347E+00,   3.39800E+01,   2.78361E+00,   5.30202E+00,   1.50338E+00,   2.44019E+03
   7.63747E-01,   6.50000E+00,   1.99239E+03,   1.57176E+00,   1.24445E+00,   3.61100E+01,   2.81665E+00,   5.53299E+00,   1.51278E+00,   2.45545E+03
   7.21395E-01,   6.50000E+00,   1.97023E+03,   1.56587E+00,   1.24532E+00,   3.82300E+01,   2.84774E+00,   5.75946E+00,   1.52145E+00,   2.46952E+03
   2.93026E+01,   6.50000E+00,   3.38447E+03,   3.88537E+00,   1.15545E+00,   1.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00
   1.67947E+01,   6.50000E+00,   3.17740E+03,   3.56320E+00,   1.15596E+00,   1.74475E+00,   1.00000E+00,   1.00000E+00,   6.62538E-01,   1.07593E+03
   9.85293E-01,   6.50000E+00,   2.06824E+03,   1.59417E+00,   1.24131E+00,   2.97400E+01,   2.71253E+00,   4.82508E+00,   1.48181E+00,   2.40639E+03
   9.19730E-01,   6.50000E+00,   2.04080E+03,   1.58488E+00,   1.24258E+00,   3.18600E+01,   2.74975E+00,   5.06238E+00,   1.49287E+00,   2.42435E+03
   8.62349E-01,   6.50000E+00,   2.01535E+03,   1.57706E+00,   1.24368E+00,   3.39800E+01,   2.78469E+00,   5.29567E+00,   1.50301E+00,   2.44081E+03
   8.11482E-01,   6.50000E+00,   1.99153E+03,   1.57036E+00,   1.24464E+00,   3.61100E+01,   2.81776E+00,   5.52636E+00,   1.51240E+00,   2.45606E+03
   7.66482E-01,   6.50000E+00,   1.96935E+03,   1.56462E+00,   1.24549E+00,   3.82300E+01,   2.84889E+00,   5.75254E+00,   1.52105E+00,   2.47012E+03
   3.10263E+01,   6.50000E+00,   3.39034E+03,   3.85570E+00,   1.15591E+00,   1.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00
   1.77792E+01,   6.50000E+00,   3.18196E+03,   3.53339E+00,   1.15651E+00,   1.74509E+00,   9.99999E-01,   1.00000E+00,   6.62722E-01,   1.07674E+03
   1.04325E+00,   6.50000E+00,   2.06746E+03,   1.59227E+00,   1.24155E+00,   2.97400E+01,   2.71347E+00,   4.81971E+00,   1.48148E+00,   2.40700E+03
   9.73832E-01,   6.50000E+00,   2.04001E+03,   1.58323E+00,   1.24280E+00,   3.18600E+01,   2.75074E+00,   5.05673E+00,   1.49253E+00,   2.42494E+03
   9.13075E-01,   6.50000E+00,   2.01455E+03,   1.57561E+00,   1.24387E+00,   3.39800E+01,   2.78571E+00,   5.28975E+00,   1.50265E+00,   2.44139E+03
   8.59216E-01,   6.50000E+00,   1.99072E+03,   1.56909E+00,   1.24481E+00,   3.61100E+01,   2.81881E+00,   5.52017E+00,   1.51203E+00,   2.45663E+03
   8.11569E-01,   6.50000E+00,   1.96854E+03,   1.56349E+00,   1.24564E+00,   3.82300E+01,   2.84996E+00,   5.74610E+00,   1.52068E+00,   2.47068E+03
